p0_hero,p1_hero,p2_hero,p3_hero,p4_hero,p5_hero,p6_hero,p7_hero,p8_hero,p9_hero,radiant_win
74,13,16,77,86,79,52,55,1,78,TRUE
90,21,86,52,77,60,55,40,53,58,FALSE
67,53,90,34,7,77,5,21,74,60,FALSE
10,58,40,27,53,20,38,66,71,52,TRUE
80,34,55,33,27,74,40,77,13,16,TRUE
66,27,78,86,1,90,81,61,80,40,FALSE
90,85,45,80,40,66,52,16,34,39,FALSE
43,33,5,10,55,80,78,74,79,52,TRUE
90,39,74,38,77,53,86,52,16,10,FALSE
2,55,52,87,10,89,33,68,39,80,TRUE
62,60,74,27,33,86,66,10,5,38,FALSE
17,52,16,86,77,53,38,29,34,89,FALSE
29,10,81,52,40,7,39,74,80,33,TRUE
25,53,11,81,33,86,89,40,34,90,FALSE
10,66,40,74,38,58,46,39,16,21,TRUE
7,79,10,74,40,2,52,62,39,16,FALSE
46,90,92,7,55,89,21,66,34,16,TRUE
74,62,39,53,29,46,58,9,40,21,FALSE
79,66,9,74,61,2,52,53,21,16,FALSE
74,58,40,1,21,79,86,23,16,53,TRUE
58,21,34,29,40,86,33,61,27,62,FALSE
89,5,33,53,39,80,90,70,21,7,TRUE
74,52,29,80,27,16,78,11,61,33,TRUE
39,25,53,10,79,74,66,1,81,40,FALSE
34,33,29,77,3,80,10,74,52,5,TRUE
52,58,77,43,40,34,33,80,86,27,FALSE
52,16,53,38,61,17,80,7,70,90,FALSE
40,53,34,21,58,16,29,39,25,74,TRUE
29,89,74,13,86,11,58,16,40,21,FALSE
86,33,60,61,27,10,58,16,21,52,FALSE
10,66,40,39,61,34,58,49,27,86,FALSE
74,58,27,10,62,32,66,29,5,34,TRUE
38,53,58,21,29,77,40,61,13,27,TRUE
10,40,58,34,55,25,46,81,79,16,TRUE
38,53,58,10,62,1,66,16,29,52,FALSE
1,16,55,21,90,40,74,86,89,53,FALSE
74,66,5,21,17,87,16,34,10,53,TRUE
34,66,80,5,62,43,58,21,28,86,TRUE
74,58,16,33,39,21,66,10,52,29,FALSE
34,58,64,48,86,10,66,21,27,7,FALSE
1,66,52,16,21,86,58,10,33,27,FALSE
49,61,21,16,86,10,40,39,34,52,FALSE
55,17,86,58,78,39,10,16,52,40,FALSE
16,34,21,28,9,52,66,19,40,33,TRUE
29,60,53,52,40,33,5,86,21,10,FALSE
5,52,80,33,10,55,46,86,27,31,FALSE
78,62,86,52,79,33,5,55,87,19,FALSE
10,40,58,38,86,33,26,21,34,61,FALSE
66,5,34,38,19,41,40,52,16,86,TRUE
7,34,86,10,9,39,21,80,27,55,FALSE
21,66,53,10,40,79,29,52,1,61,FALSE
74,66,27,49,62,40,58,43,16,61,FALSE
79,10,74,55,27,39,86,16,80,21,FALSE
66,90,78,40,77,21,33,39,80,53,TRUE
92,74,80,29,40,34,38,27,86,10,FALSE
40,80,86,89,90,29,31,52,87,10,TRUE
74,29,55,61,10,66,86,19,38,40,FALSE
55,58,27,1,40,66,53,90,21,89,TRUE
16,61,10,29,52,79,80,62,74,58,TRUE
81,86,53,40,1,38,74,10,55,20,FALSE
40,52,78,7,1,16,86,80,62,58,FALSE
74,58,33,10,27,66,34,81,29,40,FALSE
7,74,80,29,40,49,58,86,34,27,FALSE
25,53,41,38,20,74,58,61,40,16,TRUE
79,78,10,62,86,40,66,27,80,61,TRUE
40,5,34,10,16,68,53,61,81,26,FALSE
52,34,5,33,53,40,16,86,17,61,FALSE
40,53,13,39,61,86,58,21,79,78,TRUE
40,74,28,10,90,52,53,80,38,20,FALSE
16,53,10,31,86,55,58,27,56,40,FALSE
40,58,27,47,61,25,53,39,29,86,FALSE
87,53,39,29,40,64,52,84,10,16,TRUE
